id,value
G1F_W01_Paper,70.6
G1F_W02_Paper,72.4
G1F_W03_Paper,29.3
G1F_W04_Odor,48.0
G1F_W05_Odor,65.0
G1F_W06_Lotion,100.0
RO1F_M01_Paper,8.75
RO1F_M02_Odor,32.0
GB1F_ManCounting,80.0
G7F_ManCounting,170.0
GB1F_WomanCounting,20.0
GB1F_M01_Paper,81.0
GB1F_M02_Paper,90.9
GB1F_M03_Odor,70.0
GB1F_M04_Odor,57.0
GB1F_M05_Lotion,100.0
G7F_W01_Paper,85.9
G7F_W02_Paper,59.4
G7F_W03_Paper,68.8
G7F_W04_Paper,33.3
G7F_W05_Paper,47.8
G7F_W06_Paper,58.5
G7F_W07_Paper,53.2
G7F_W08_Paper,52.1
G7F_W09_Odor,139.0
G7F_W10_Odor,149.0
G7F_W11_Odor,198.0
G7F_W12_Odor,174.0
G1F_WomanCounting,10.0
RO1F_W01_Paper,71.3
RO1F_W02_Paper,55.2
RO1F_W03_Paper,37.7
RO1F_W04_Odor,26.0
R1F_ManCounting,80.0
G1F_M01,72.7
G1F_M02_Paper,74.8
G1F_M03_Paper,100.0
G1F_M04_Odor,45.0
G1F_M05_Odor,50.0
G1F_M06_Lotion,100.0
G7F_WomanCounting,110.0
G7F_M01_Paper,72.2
G7F_M02_Paper,54.4
G7F_M03_Odor,196.0
G7F_M04_Odor,171.0
GB1F_W01_Paper,57.5
GB1F_W02_Paper,86.5
GB1F_W03_Paper,97.0
GB1F_W04_Odor,61.0
GB1F_W05_Odor,63.0
GB1F_W06_Lotion,100.0
R1F_WomanCounting,30.0
G1F_ManCounting,20.0
